18	-0.483	179	NAN	
18.1	-0.4845	180	NAN	
18.2	-0.4875	181.5	NAN	
18.3	-0.4935	183.5	NAN	
18.4	-0.495	184.5	NAN	
18.5	-0.5025	187	NAN	
18.6	-0.5115	190	NAN	
18.7	-0.5235	194.5	NAN	
18.8	-0.528	197.5	NAN	
18.9	-0.528	199.5	NAN	
19	-0.5385	202	NAN	
19.1	-0.5415	204	NAN	
19.2	-0.546	206	NAN	
19.3	-0.5475	207.5	NAN	
19.4	-0.552	209.5	NAN	
19.5	-0.555	210.5	NAN	
19.6	-0.5565	212	NAN	
19.7	-0.558	213	NAN	
19.8	-0.558	213.5	NAN	
19.9	-0.5595	214	NAN	
20	-0.561	214.5	NAN	
20.1	-0.5625	215	NAN	
20.2	-0.564	215.5	NAN	
20.3	-0.564	216	NAN	
20.4	-0.5745	219	NAN	
20.5	-0.5775	221	NAN	
20.6	-0.5805	222.5	NAN	
20.7	-0.5895	225	NAN	
20.8	-0.5925	227	NAN	
20.9	-0.5985	230	NAN	
21	-0.6015	231	NAN	
21.1	-0.6045	232.5	NAN	
21.2	-0.612	234.5	NAN	
21.3	-0.6165	237.5	NAN	
21.4	-0.618	239	NAN	
21.5	-0.627	241	NAN	
21.6	-0.6345	244.5	NAN	
21.7	-0.6405	247.5	NAN	
21.8	-0.648	250	NAN	
21.9	-0.648	251.5	NAN	
22	-0.6525	253	NAN	
22.1	-0.6555	254.5	NAN	
22.2	-0.6765	261	NAN	
22.3	-0.672	263	NAN	
22.4	-0.675	264	NAN	
22.5	-0.6765	265	NAN	
22.6	-0.6825	267	NAN	
22.7	-0.684	268	NAN	
22.8	-0.6855	268.5	NAN	
22.9	-0.684	269	NAN	
23	-0.69	270	NAN	
23.1	-0.6975	272	NAN	
23.2	-0.7005	273.5	NAN	
23.3	-0.7065	276	NAN	
23.4	-0.7095	278	NAN	
23.5	-0.7125	279.5	NAN	
23.6	-0.7125	280.5	NAN	
23.7	-0.714	281.5	NAN	
23.8	-0.7155	282	NAN	
23.9	-0.723	284.5	NAN	
24	-0.7305	286.5	NAN	
24.1	-0.735	289	NAN	
24.2	-0.7395	291	NAN	
24.3	-0.7425	292.5	NAN	
24.4	-0.741	293	NAN	
24.5	-0.744	294	NAN	
24.6	-0.744	295	NAN	
24.7	-0.747	295	NAN	
24.8	-0.7515	296	NAN	
24.9	-0.7545	298	NAN	
25	-0.7545	299	NAN	
25.1	-0.756	299.5	NAN	
25.2	-0.765	301.5	NAN	
25.3	-0.7725	304	NAN	
25.4	-0.777	306.5	NAN	
25.5	-0.7845	309	NAN	
25.6	-0.8025	314.5	NAN	
25.7	-0.807	318	NAN	
25.8	-0.8085	319.5	NAN	
25.9	-0.81	321	NAN	
26	-0.8175	323.5	NAN	
26.1	-0.8235	326	NAN	
26.2	-0.8265	327	NAN	
26.3	-0.834	329.5	NAN	
26.4	-0.8445	334	NAN	
26.5	-0.852	336.5	NAN	
26.6	-0.8535	339	NAN	
26.7	-0.858	340.5	NAN	
26.8	-0.864	342.5	NAN	
26.9	-0.864	344	NAN	
27	-0.8685	345.5	NAN	
27.1	-0.8775	348	NAN	
27.2	-0.882	350	NAN	
27.3	-0.888	352.5	NAN	
27.4	-0.8955	355.5	NAN	
27.5	-0.9045	358	NAN	
27.6	-0.909	360.5	NAN	
27.7	-0.909	362	NAN	
27.8	-0.915	363.5	NAN	
27.9	-0.9225	366	NAN	
28	-0.9285	369	NAN	
28.1	-0.939	372	NAN	
